Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/002_applauding.jpg; Clapping
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/003_applauding.jpg; Taking a picture
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/004_applauding.jpg; Celebrating a goal
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/005_applauding.jpg; Appreciating fashion
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/006_applauding.jpg; Posing
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/007_applauding.jpg; Riding a carnival ride with her child.
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/008_applauding.jpg; Giving a speech
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/009_applauding.jpg; Waving
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/010_applauding.jpg; Giving a speech
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/011_applauding.jpg; Clapping
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/012_applauding.jpg; Swinging a baseball bat.
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/013_applauding.jpg; Celebrating
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/014_applauding.jpg; Applauding
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/015_applauding.jpg; Clapping
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/016_applauding.jpg; Celebrating a goal
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/017_applauding.jpg; Shaking hands
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/018_applauding.jpg; Cheering
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/019_applauding.jpg; Saluting
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/020_applauding.jpg; Dancing
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/021_applauding.jpg; Praying
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/022_applauding.jpg; Greeting
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/023_applauding.jpg; Eating
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/024_applauding.jpg; Sitting
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/025_applauding.jpg; Waving
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/026_applauding.jpg; Waving
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/027_applauding.jpg; Hugging
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/028_applauding.jpg; Waving
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/029_applauding.jpg; Waving
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/030_applauding.jpg; Waving
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/031_applauding.jpg; Laughing
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/032_applauding.jpg; Clapping
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/033_applauding.jpg; Cheering
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/034_applauding.jpg; Celebrating a successful play
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/035_applauding.jpg; Clapping
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/036_applauding.jpg; Welcoming
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/037_applauding.jpg; Doing a handstand
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/038_applauding.jpg; Gesturing
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/039_applauding.jpg; Dancing
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/040_applauding.jpg; Celebrating
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/041_applauding.jpg; Speaking
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/042_applauding.jpg; Celebrating
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/043_applauding.jpg; Refereeing a soccer match.
